name,title
Katie Worth,Practice Management Consultant
Katrina M. Sanders,"RDH, BSDH, M.Ed, RF"
Kelly Turner,"PME, BA(Kin), RDH"
LT Jin Hwang,Military Periodontics
LT Nathan Kobold,Military Periodontics
LT Sofia Thompson,Military Periodontics
Loren Israelsen,"DDS, Founder and Chief Executive Officer"
Louis Chmura,Dental Industry Executive
Lynda Ricketson,"President and Chief Executive Officer, Dental Lifeline Network"
MAJ Toria Koutras,Military Periodontics
Marisa Notturno,"RDH, MS"
Marisa Notturno,Dental Lab Technician - Digital Technology Leader
Mark Censoprano,Dental Industry Executive
Mark Lakis,Chief Executive Officer
Mark T. Murphy,"Executive Director, DDS, D. IAOS, D. ABDSM, FAGD"
Martin Mendelson,Dentist
Matthew Simko,"Director, Brand Marketing"
Michael Acierno,"President and Chief Medical Officer, DecisionOne Dental Partners"
Michael Beschloss,Presidential Historian & Leadership Expert
Michael R. Andersen,Commander
Michael Wagner,Technical Specialist
Michelle Brumfield,"Director, Operations, Blue Sage Dental Group"
Michelle Flesch,RDH
Michelle Strange,"MSDH, RDH, CDIPC"
Mike Graham,VP of Sales
Minh Tran,Digital Software
Naoki Hayashi,Dental Technician
Natalyn Lewis,Legal & Financial Consultant
Nick Murray,"Vice President, Operations, Tailwater Dental Partners"
